tri_code,id,logo,,,,,,
ANA,24,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Anaheim_Ducks.svg/320px-Anaheim_Ducks.svg.png,,,,,,
ARI,53,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Arizona_Coyotes_logo_%282021%29.svg/218px-Arizona_Coyotes_logo_%282021%29.svg.png,,,,,,
BOS,6,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Boston_Bruins_100th_anniversary_logo.svg/240px-Boston_Bruins_100th_anniversary_logo.svg.png,,,,,,
BUF,7,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Buffalo_Sabres_Logo.svg/240px-Buffalo_Sabres_Logo.svg.png,,,,,,
CAR,12,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Carolina_Hurricanes.svg/320px-Carolina_Hurricanes.svg.png,,,,,,
CBJ,29,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Columbus_Blue_Jackets_logo.svg/277px-Columbus_Blue_Jackets_logo.svg.png,,,,,,
CGY,20,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Calgary_Flames_logo.svg/281px-Calgary_Flames_logo.svg.png,,,,,,
CHI,16,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Chicago_Blackhawks_logo.svg/275px-Chicago_Blackhawks_logo.svg.png,,,,,,
COL,21,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Colorado_Avalanche_logo.svg/295px-Colorado_Avalanche_logo.svg.png,,,,,,
DAL,25,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Dallas_Stars_logo_%282013%29.svg/292px-Dallas_Stars_logo_%282013%29.svg.png,,,,,,
DET,17,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Detroit_Red_Wings_logo.svg/320px-Detroit_Red_Wings_logo.svg.png,,,,,,
EDM,22,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Logo_Edmonton_Oilers.svg/240px-Logo_Edmonton_Oilers.svg.png,,,,,,
FLA,13,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Florida_Panthers_2016_logo.svg/215px-Florida_Panthers_2016_logo.svg.png,,,,,,
LAK,26,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Los_Angeles_Kings_logo.svg/201px-Los_Angeles_Kings_logo.svg.png,,,,,,
MIN,30,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Minnesota_Wild.svg/320px-Minnesota_Wild.svg.png,,,,,,
MTL,8,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Montreal_Canadiens.svg/320px-Montreal_Canadiens.svg.png,,,,,,
NJD,1,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/New_Jersey_Devils_logo.svg/235px-New_Jersey_Devils_logo.svg.png,,,,,,
NSH,18,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Nashville_Predators_Logo_%282011%29.svg/320px-Nashville_Predators_Logo_%282011%29.svg.png,,,,,,
NYI,2,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/Logo_New_York_Islanders.svg/249px-Logo_New_York_Islanders.svg.png,,,,,,
NYR,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/New_York_Rangers.svg/249px-New_York_Rangers.svg.png,,,,,,
OTT,9,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Ottawa_Senators_2020-2021_logo.svg/302px-Ottawa_Senators_2020-2021_logo.svg.png,,,,,,
PHI,4,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Philadelphia_Flyers.svg/320px-Philadelphia_Flyers.svg.png,,,,,,
PIT,5,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Pittsburgh_Penguins_logo_%282016%29.svg/254px-Pittsburgh_Penguins_logo_%282016%29.svg.png,,,,,,
SEA,55,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Seattle_Kraken_official_logo.svg/382px-Seattle_Kraken_official_logo.svg.png,,,,,,
SJS,28,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/SanJoseSharksLogo.svg/287px-SanJoseSharksLogo.svg.png,,,,,,
STL,19,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/St._Louis_Blues_logo.svg/300px-St._Louis_Blues_logo.svg.png,,,,,,
TBL,14,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Tampa_Bay_Lightning_2011.svg/258px-Tampa_Bay_Lightning_2011.svg.png,,,,,,
TOR,10,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Toronto_Maple_Leafs_2016_logo.svg/215px-Toronto_Maple_Leafs_2016_logo.svg.png,,,,,,
VAN,23,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Vancouver_Canucks_logo.svg/249px-Vancouver_Canucks_logo.svg.png,,,,,,
VGK,54,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Vegas_Golden_Knights_logo.svg/184px-Vegas_Golden_Knights_logo.svg.png,,,,,,
WPG,52,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Winnipeg_Jets_Logo_2011.svg/248px-Winnipeg_Jets_Logo_2011.svg.png,,,,,,
WSH,15,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Washington_Capitals.svg/320px-Washington_Capitals.svg.png,,,,,,
