tri_code,team_id,logo
ANA,24,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg
ARI,53,https://assets.nhle.com/logos/nhl/svg/ARI_light.svg
BOS,6,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg
BUF,7,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg
CAR,12,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg
CBJ,29,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg
CGY,20,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg
CHI,16,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg
COL,21,https://assets.nhle.com/logos/nhl/svg/COL_light.svg
DAL,25,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg
DET,17,https://assets.nhle.com/logos/nhl/svg/DET_light.svg
EDM,22,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg
FLA,13,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg
LAK,26,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg
MIN,30,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg
MTL,8,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg
NJD,1,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg
NSH,18,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg
NYI,2,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg
NYR,3,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg
OTT,9,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg
PHI,4,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg
PIT,5,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg
SEA,55,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg
SJS,28,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg
STL,19,https://assets.nhle.com/logos/nhl/svg/STL_light.svg
TBL,14,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg
TOR,10,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg
VAN,23,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg
VGK,54,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg
WPG,52,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg
WSH,15,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg
